"species","no_detections","no_countries","p_years_miss","p_years_pres","no_sampledyears"
"Echinogammarus calvus",4,1,94.3,5.7,3
"Echinogammarus ischnus",220,3,39.6,60.4,32
"Echinogammarus longisetosus",100,1,79.2,20.8,11
"Ecnomus tenellus",217,8,37.7,62.3,33
"Einfeldia dissidens",4,1,92.5,7.5,4
"Einfeldia longipes",1,1,98.1,1.9,1
"Einfeldia pagana",3,1,94.3,5.7,3
"Eiseniella tetraedra",2380,13,26.4,73.6,39
"Electrogena affinis",2,1,98.1,1.9,1
"Electrogena lateralis",106,4,52.8,47.2,25
"Electrogena ujhelyii",23,3,84.9,15.1,8
"Elmis aenea",6912,13,34,66,35
"Elmis latreillei",3,1,94.3,5.7,3
"Elmis maugetii",51,5,47.2,52.8,28
"Elmis rioloides",6,1,88.7,11.3,6
"Elodes minuta",1058,3,47.2,52.8,28
"Eloeophila maculata",1,1,98.1,1.9,1
"Eloeophila submarmorata",1,1,98.1,1.9,1
"Eloeophila trimaculata",14,1,92.5,7.5,4
"Eloeophila verralli",1,1,98.1,1.9,1
"Elophila nymphaeata",72,5,49.1,50.9,27
"Enallagma cyathigerum",19,4,73.6,26.4,14
"Enchytraeus albidus",2,1,96.2,3.8,2
"Endochironomus albipennis",153,2,26.4,73.6,39
"Endochironomus impar",1,1,98.1,1.9,1
"Endochironomus lepidus",3,1,94.3,5.7,3
"Endochironomus tendens",181,2,32.1,67.9,36
"Enochrus affinis",6,1,90.6,9.4,5
"Enochrus ater",1,1,98.1,1.9,1
"Enochrus bicolor",10,2,88.7,11.3,6
"Enochrus coarctatus",1,1,98.1,1.9,1
"Enochrus fuscipennis",2,2,96.2,3.8,2
"Enochrus melanocephalus",10,2,88.7,11.3,6
"Enochrus ochropterus",3,1,94.3,5.7,3
"Enochrus quadripunctatus",20,2,77.4,22.6,12
"Enochrus testaceus",32,4,77.4,22.6,12
"Enoicyla pusilla",5,2,90.6,9.4,5
"Epeorus assimilis",28,3,66,34,18
"Epeorus sylvicola",128,3,71.7,28.3,15
"Epeorus yougoslavicus",3,1,94.3,5.7,3
"Ephemera danica",2865,13,26.4,73.6,39
"Ephemera glaucops",1,1,98.1,1.9,1
"Ephemera lineata",53,5,64.2,35.8,19
"Ephemera vulgata",468,9,39.6,60.4,32
"Ephemerella aurivillii",536,3,43.4,56.6,30
"Ephemerella mucronata",213,7,43.4,56.6,30
"Ephemerella notata",57,4,52.8,47.2,25
"Ephoron virgo",55,4,62.3,37.7,20
"Ephydatia fluviatilis",532,1,49.1,50.9,27
"Ephydatia muelleri",28,1,69.8,30.2,16
"Epitheca bimaculata",4,2,92.5,7.5,4
"Epoicocladius flavens",134,4,52.8,47.2,25
"Eriocheir sinensis",25,2,67.9,32.1,17
"Ernodes articularis",2,1,96.2,3.8,2
"Erotesis baltica",1,1,98.1,1.9,1
"Erpobdella nigricollis",139,4,52.8,47.2,25
"Erpobdella octoculata",5790,13,1.9,98.1,52
"Erpobdella testacea",416,7,26.4,73.6,39
"Erpobdella vilnensis",47,3,71.7,28.3,15
"Erythromma lindenii",22,3,77.4,22.6,12
"Erythromma najas",182,8,43.4,56.6,30
"Erythromma viridulum",23,2,77.4,22.6,12
"Esolus angustatus",7,1,86.8,13.2,7
"Esolus parallelepipedus",573,6,54.7,45.3,24
"Euglesa obtusalis",6,3,90.6,9.4,5
"Euglesa parvula",60,1,71.7,28.3,15
"Euglesa personata",135,3,69.8,30.2,16
"Euglesa pulchella",11,2,86.8,13.2,7
"Eukiefferiella brevicalcar",410,3,37.7,62.3,33
"Eukiefferiella claripennis",400,5,26.4,73.6,39
"Eukiefferiella clypeata",1,1,98.1,1.9,1
"Eukiefferiella coerulescens",2,1,96.2,3.8,2
"Eukiefferiella devonica",3,1,96.2,3.8,2
"Eukiefferiella discoloripes",695,4,35.8,64.2,34
"Eukiefferiella dittmari",4,1,92.5,7.5,4
"Eukiefferiella gracei",50,5,66,34,18
"Eukiefferiella ilkleyensis",9,2,88.7,11.3,6
